"Amparo","Amp","SumaDePagos","Modelo","Color","Carroceria","MARCA","Referencia1","Referencia2","CLASE_FASECOLDA","TIPO_VEHICULO","SERVICIO","Sexo_Aseg","Edad","Desde","Hasta","Vr_Comercial","Pago"
NA,NA,NA,2004,"PLATA","SEDAN","HYUNDAI","ACCENT GYRO","GLS","AUTOMOVIL","Livianos","Particular","F",35,"2011-03-16","2012-03-16",16300000,"No"
NA,NA,NA,2007,"AZUL","SEDAN","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",58,"2012-05-06","2013-05-06",13700000,"No"
NA,NA,NA,2009,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",28,"2011-07-02","2012-07-02",13800000,"No"
NA,NA,NA,2011,"PLATA","SEDAN","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","M",39,"2011-10-01","2012-10-01",27500000,"No"
NA,NA,NA,2011,"PLATA","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",39,"2011-07-06","2012-07-06",17900000,"No"
NA,NA,NA,2011,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",42,"2011-09-23","2012-09-23",33800000,"No"
NA,NA,NA,2011,"NEGRO","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",36,"2012-07-05","2013-07-05",27990000,"No"
NA,NA,NA,2012,"BLANCO","SEDAN","HYUNDAI","i35 ELANTRA","1.8L","AUTOMOVIL","Livianos","Particular","M",35,"2011-03-14","2012-03-14",48500000,"No"
NA,NA,NA,2012,"CHAMPA�A","HATCHBACK","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",47,"2012-01-22","2013-01-22",20190000,"No"
NA,NA,NA,2011,"AZUL","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",0,"2012-04-19","2013-04-19",25990000,"No"
NA,NA,NA,2008,"AZUL","SEDAN","HYUNDAI","ACCENT VISION","LS","AUTOMOVIL","Livianos","Particular","M",50,"2011-03-26","2012-03-26",24600000,"No"
NA,NA,NA,2006,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",49,"2011-04-25","2012-04-25",9700000,"No"
NA,NA,NA,2007,"VINOTINTO","COUPE","HYUNDAI","ACCENT WEB II","GL","AUTOMOVIL","Livianos","Particular","M",0,"2012-09-08","2013-09-08",1.7e+07,"No"
NA,NA,NA,2005,"AZUL","SEDAN","HYUNDAI","ACCENT GYRO","GL","AUTOMOVIL","Livianos","Particular","M",44,"2011-04-20","2012-04-20",15700000,"No"
NA,NA,NA,2010,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",56,"2012-01-06","2013-01-06",2.9e+07,"No"
NA,NA,NA,2011,"VINOTINTO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular",NA,999,"2011-11-05","2012-11-05",25900000,"No"
NA,NA,NA,2009,"DORADO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",44,"2012-04-23","2013-04-23",0,"No"
NA,NA,NA,2012,"NEGRO","HATCHBACK","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular",NA,999,"2011-05-12","2012-05-12",2e+07,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",417257.4,2009,"BLANCO","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Oficial",NA,999,"2012-07-22","2014-09-02",0,"S�"
NA,NA,NA,2009,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",49,"2011-08-10","2012-08-10",20300000,"No"
NA,NA,NA,2007,"GRIS","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",49,"2011-06-30","2012-06-30",15400000,"No"
NA,NA,NA,2008,"NEGRO","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",56,"2011-06-27","2012-06-27",23400000,"No"
NA,NA,NA,2008,"PLATEADO","ST. WAGON","HYUNDAI","TUCSON","GL","CAMIONETA","Livianos","Particular",NA,999,"2012-05-25","2013-05-25",32600000,"No"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",43,"2012-06-06","2013-06-06",17600000,"No"
NA,NA,NA,2012,"GRIS","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",40,"2011-08-05","2012-08-05",22455588,"No"
NA,NA,NA,1998,"GRIS","SEDAN","HYUNDAI","ELANTRA AVANTE","GLS","AUTOMOVIL","Livianos","Particular","M",28,"2011-11-08","2012-11-08",9100000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",1140190,2000,"ROJO","SEDAN","HYUNDAI","ATOS [1]","GL","AUTOMOVIL","Livianos","Particular","F",23,"2011-09-14","2012-09-14",7900000,"S�"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",36,"2012-06-12","2013-06-12",29900000,"No"
NA,NA,NA,2008,"GRIS","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","M",48,"2012-12-11","2013-12-11",19700000,"No"
NA,NA,NA,2013,"NEGRO","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular",NA,43,"2011-09-12","2012-09-12",34990000,"No"
NA,NA,NA,2005,"AZUL","CABINADO","HYUNDAI","GETZ [1]","GL","AUTOMOVIL","Livianos","Particular","M",30,"2011-07-14","2012-07-14",14500000,"No"
NA,NA,NA,2011,"DORADO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",42,"2011-07-26","2012-07-26",25100000,"No"
NA,NA,NA,2013,"PLATA","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",0,"2012-08-14","2013-08-14",33690000,"No"
NA,NA,NA,2009,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",33,"2012-02-06","2013-02-06",19500000,"No"
NA,NA,NA,2006,"ROJO","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",48,"2012-01-26","2013-01-26",15800000,"No"
NA,NA,NA,2012,"VERDE","HATCHBACK","HYUNDAI","VELOSTER","COUPE","AUTOMOVIL","Livianos","Particular","M",25,"2011-07-27","2012-07-27",5.6e+07,"No"
NA,NA,NA,2012,"ROJO","SEDAN","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",60,"2012-12-10","2013-12-10",0,"No"
NA,NA,NA,2011,"GRIS","SEDAN","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",31,"2011-02-22","2012-02-22",19300000,"No"
NA,NA,NA,2009,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",43,"2012-01-11","2013-01-11",17300000,"No"
NA,NA,NA,2011,"BLANCO","SEDAN","HYUNDAI","ELANTRA SUPREME","GLS","AUTOMOVIL","Livianos","Particular","M",0,"2011-05-04","2012-05-04",26400000,"No"
NA,NA,NA,2002,"NEGRO","SEDAN","HYUNDAI","ACCENT","NEXT","AUTOMOVIL","Livianos","Particular","M",32,"2012-03-11","2013-03-11",10200000,"No"
NA,NA,NA,2006,"CHAMPA�A","CABINADO","HYUNDAI","TUCSON","GLS","CAMPERO","Livianos","Particular","M",41,"2012-10-01","2013-01-01",39200000,"No"
NA,NA,NA,2007,"ROJO","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",41,"2011-09-12","2012-09-12",15400000,"No"
NA,NA,NA,2011,"PLATA","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","F",58,"2013-01-11","2014-01-11",25300000,"No"
NA,NA,NA,2013,"GRIS","HATCHBACK","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","M",74,"2012-06-15","2013-06-15",4.4e+07,"No"
NA,NA,NA,2012,"GRIS","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",31,"2012-07-11","2013-07-11",23127000,"No"
NA,NA,NA,2013,"PLATEADO","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMPERO","Livianos","Particular",NA,0,"2012-06-10","2013-06-10",72990000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",3923880,2007,"PLATA","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Particular","M",34,"2012-09-09","2013-09-09",34100000,"S�"
"RESPONSABILIDAD CIVIL EXTRACONTRACTUAL","RC",6129990,2012,"BLANCO","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","F",50,"2012-04-28","2013-04-28",39390000,"S�"
"PERDIDA PARCIAL POR DA�OS","PPD",2941068,2011,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",50,"2012-06-26","2013-06-26",2.3e+07,"S�"
NA,NA,NA,2012,"BLANCO","BUS-BUSETA","HYUNDAI","STAREX [1]","H1","MICROBUS","Pesados","Publico","M",44,"2011-07-11","2012-07-11",78790000,"No"
NA,NA,NA,2002,"GRIS","SEDAN","HYUNDAI","ACCENT","NEXT","AUTOMOVIL","Livianos","Particular","F",72,"2012-12-10","2013-12-10",9300000,"No"
NA,NA,NA,2011,"GRIS","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","M",65,"2012-03-09","2013-03-09",16900000,"No"
NA,NA,NA,2009,"PLATA","CABINADO","HYUNDAI","TUCSON","GL CRDI","CAMIONETA","Livianos","Particular","M",75,"2011-09-02","2012-09-02",41200000,"No"
NA,NA,NA,2012,"BLANCO","METALICA","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","F",38,"2012-07-17","2012-09-15",34500000,"No"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",63,"2012-07-03","2013-07-03",18800000,"No"
NA,NA,NA,1998,"AZUL","SEDAN","HYUNDAI","ACCENT","L","AUTOMOVIL","Livianos","Particular","F",30,"2012-06-02","2013-06-02",7500000,"No"
NA,NA,NA,2009,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",65,"2011-12-20","2012-12-20",13800000,"No"
NA,NA,NA,2007,"ARENA FINA","SEDAN","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",36,"2011-03-30","2012-03-30",1.7e+07,"No"
NA,NA,NA,1998,"VERDE","SEDAN","HYUNDAI","ACCENT","GLS","AUTOMOVIL","Livianos","Particular","M",30,"2012-07-10","2013-07-10",7700000,"No"
NA,NA,NA,2012,"BLANCO","SEDAN","HYUNDAI","i10 [FL]","SPORT","AUTOMOVIL","Livianos","Particular","M",35,"2011-04-15","2012-04-15",0,"No"
"PERDIDA TOTAL POR DA�OS","PTD",9663414,2009,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",43,"2011-03-01","2012-03-01",17300000,"S�"
NA,NA,NA,2007,"PLATA","CABINADO","HYUNDAI","SANTA FE [2]","GL","CAMPERO","Livianos","Particular","F",57,"2012-03-02","2013-03-02",53600000,"No"
NA,NA,NA,2009,"PLATA","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",64,"2011-11-29","2012-11-29",14700000,"No"
NA,NA,NA,2006,"AZUL","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",52,"2012-08-09","2013-08-09",14700000,"No"
NA,NA,NA,2012,"PLATA","CABINADO","HYUNDAI","SANTA FE [2] [FL]","GL","CAMIONETA","Livianos","Particular","F",47,"2011-12-11","2012-12-11",72280000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",11813044,2012,"PLATA","CABINADO","HYUNDAI","SANTA FE [2] [FL]","GL","CAMIONETA","Livianos","Particular","F",47,"2011-08-16","2012-08-16",72280000,"S�"
NA,NA,NA,2012,"PLATA","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","M",58,"2012-11-29","2013-06-01",19890000,"No"
NA,NA,NA,2010,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",37,"2011-11-29","2012-11-29",23200000,"No"
NA,NA,NA,2008,"AZUL","SEDAN","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","F",33,"2011-11-10","2012-11-10",18700000,"No"
NA,NA,NA,2008,"ROJO","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Particular","F",68,"2011-10-19","2012-10-19",42100000,"No"
NA,NA,NA,2011,"NEGRO","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","M",42,"2012-09-28","2013-09-28",45600000,"No"
NA,NA,NA,2009,"CAFE","SEDAN","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",35,"2011-04-14","2012-04-14",0,"No"
NA,NA,NA,2011,"BLANCO","FURGON","HYUNDAI","PORTER","H100 [2]","FURGON","Pesados","Publico",NA,999,"2012-04-12","2013-04-12",48100000,"No"
NA,NA,NA,2003,"AZUL","HATCHBACK","HYUNDAI","ACCENT GYRO","GL","AUTOMOVIL","Livianos","Particular","M",61,"2011-11-05","2012-11-05",1.3e+07,"No"
NA,NA,NA,2009,"PLATA","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",45,"2012-05-15","2013-05-15",2.1e+07,"No"
NA,NA,NA,2011,"AZUL","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",0,"2012-02-10","2013-02-10",17900000,"No"
NA,NA,NA,2005,"BLANCO","SEDAN","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",0,"2013-01-02","2014-01-02",12400000,"No"
NA,NA,NA,2010,"AMARILLO","SEDAN","HYUNDAI","ACCENT VISION","GL","AUTOMOVIL","Livianos","Publico","M",60,"2012-05-04","2013-05-04",28600000,"No"
NA,NA,NA,2006,"BLANCO","SEDAN","HYUNDAI","ELANTRA FL","GLS","AUTOMOVIL","Livianos","Particular",NA,0,"2012-03-21","2013-03-21",17700000,"No"
NA,NA,NA,2006,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Particular","M",43,"2011-12-30","2012-12-30",9700000,"No"
NA,NA,NA,2004,"VERDE","SEDAN","HYUNDAI","ACCENT GYRO","GLS","AUTOMOVIL","Livianos","Particular","M",42,"2011-08-31","2012-08-31",13400000,"No"
NA,NA,NA,2010,"PLATA","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL","Livianos","Particular","M",67,"2012-11-16","2013-11-16",16400000,"No"
NA,NA,NA,2010,"VERDE","CABINADO","HYUNDAI","TUCSON","GL","CAMIONETA","Livianos","Particular","F",60,"2012-04-04","2013-04-04",37600000,"No"
NA,NA,NA,2008,"AZUL","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",76,"2011-03-08","2012-03-08",18900000,"No"
NA,NA,NA,2007,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",22,"2011-04-02","2012-04-02",10900000,"No"
NA,NA,NA,2011,"BLANCO","CABINADO","HYUNDAI","H100","2.5","CAMIONETA","Livianos","Oficial",NA,999,"2012-01-31","2013-01-31",41641063,"No"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","ELANTRA SUPREME","GLS","AUTOMOVIL","Livianos","Particular","M",49,"2011-05-31","2012-05-31",32800000,"No"
NA,NA,NA,2012,"NEGRO","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",34,"2011-04-25","2012-04-25",23070000,"No"
NA,NA,NA,2010,"GRIS","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMPERO","Livianos","Oficial",NA,999,"2012-07-14","2013-07-14",56800000,"No"
NA,NA,NA,2012,"NEGRO","HATCHBACK","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","F",50,"2011-12-23","2012-12-23",0,"No"
NA,NA,NA,2013,"NEGRO","SEDAN","HYUNDAI","i35 ELANTRA","1.8L","AUTOMOVIL","Livianos","Particular","M",27,"2011-01-04","2012-01-04",46806200,"No"
NA,NA,NA,2011,"PLATEADO","CABINADO","HYUNDAI","TUCSON IX 35","2.0L CRDI","CAMIONETA","Livianos","Particular","F",0,"2012-10-13","2013-10-13",54300000,"No"
NA,NA,NA,2009,"PLATA","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","F",44,"2011-02-11","2012-02-11",25100000,"No"
"GASTOS DE TRANSPORTE POR PERDIDA TOTAL","GT",17869950,2008,"BLANCO","SEDAN","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular",NA,999,"2011-05-05","2012-05-05",15800000,"S�"
"RESPONSABILIDAD CIVIL EXTRACONTRACTUAL","RC",2351684,2010,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico",NA,999,"2012-06-19","2013-06-19",13800000,"S�"
"PERDIDA PARCIAL POR DA�OS","PPD",2218069,2012,"NEGRO","CABINADO","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",28,"2011-12-06","2012-12-06",18200000,"S�"
NA,NA,NA,2007,"PLATA","CABINADO","HYUNDAI","SANTA FE [2]","GL","CAMPERO","Livianos","Particular","F",57,"2012-08-28","2013-08-28",53600000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",4906870,2012,"NEGRO","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","F",67,"2012-10-22","2013-10-22",55600000,"S�"
"PERDIDA PARCIAL POR DA�OS","PPD",1061361,2012,"PLATA","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",39,"2011-06-03","2011-09-01",23790000,"S�"
NA,NA,NA,2013,"PLATA","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","F",0,"2012-03-25","2013-03-25",33500000,"No"
NA,NA,NA,2006,"AZUL","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",49,"2012-09-08","2013-09-08",12800000,"No"
NA,NA,NA,2012,"NEGRO","SEDAN","HYUNDAI","i35 ELANTRA","1.6L","AUTOMOVIL","Livianos","Particular","F",38,"2011-09-15","2012-09-15",37800000,"No"
NA,NA,NA,2007,"PLATA","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","M",41,"2011-08-18","2012-08-18",15400000,"No"
NA,NA,NA,2011,"GRIS","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L CRDI","CAMIONETA","Livianos","Oficial",NA,999,"2011-04-09","2011-12-31",60300000,"No"
NA,NA,NA,2010,"BLANCO","VAN DE PASAJEROS","HYUNDAI","STAREX [2]","H1","BUS / BUSETA / MICROBUS","Pesados","Oficial",NA,999,"2012-06-24","2013-06-24",84079178,"No"
NA,NA,NA,2006,"PLATA","SEDAN","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",45,"2011-05-31","2012-05-31",12800000,"No"
NA,NA,NA,2004,"AZUL","-","HYUNDAI","GETZ [1]","GL","AUTOMOVIL","Livianos","Particular","F",0,"2011-10-12","2012-10-12",13500000,"No"
NA,NA,NA,2008,"AZUL","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",37,"2011-07-19","2012-07-19",2.2e+07,"No"
NA,NA,NA,2012,"GRIS","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","M",36,"2011-07-14","2012-07-14",5.4e+07,"No"
"RESPONSABILIDAD CIVIL EXTRACONTRACTUAL","RC",30599900,2001,"AZUL","HATCHBACK","HYUNDAI","ELANTRA FL","GLS","AUTOMOVIL","Livianos","Particular","M",0,"2011-04-16","2012-04-16",15700000,"S�"
NA,NA,NA,2003,"ORO","SEDAN","HYUNDAI","ACCENT VERNA","GL","AUTOMOVIL","Livianos","Particular","M",41,"2011-03-17","2012-03-17",12500000,"No"
NA,NA,NA,2012,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",33,"2012-02-01","2013-02-01",27972641,"No"
NA,NA,NA,2011,"GRIS","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",35,"2011-04-11","2011-10-01",2.8e+07,"No"
NA,NA,NA,2012,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [1] [FL]","PRIME","AUTOMOVIL","Livianos","Publico","M",0,"2012-06-18","2013-06-18",27500000,"No"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",51,"2012-01-15","2013-01-15",17600000,"No"
NA,NA,NA,2007,"BLANCO","HATCHBACK","HYUNDAI","ATOS [2]","SANTRO","AUTOMOVIL","Livianos","Particular","F",31,"2011-04-17","2012-04-17",14700000,"No"
NA,NA,NA,2009,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","F",85,"2011-10-01","2012-10-01",15400000,"No"
NA,NA,NA,2010,"GRIS","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMPERO","Livianos","Oficial",NA,999,"2012-02-11","2013-02-11",56800000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",14872740,2005,"AZUL","SEDAN","HYUNDAI","ACCENT GYRO","GL","AUTOMOVIL","Livianos","Particular","M",44,"2011-09-30","2012-09-30",15700000,"S�"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",43,"2011-07-06","2012-07-06",38210200,"No"
NA,NA,NA,2007,"BEIGE","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",30,"2011-07-01","2012-07-01",17600000,"No"
NA,NA,NA,2010,"PLATA","METALICA","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",0,"2012-10-14","2013-10-14",23400000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",8034849,2008,"PLATA","CABINADO","HYUNDAI","TUCSON","GL","CAMPERO","Livianos","Particular","M",48,"2011-05-18","2012-05-18",39500000,"S�"
NA,NA,NA,2008,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",58,"2011-07-05","2012-07-05",20500000,"No"
NA,NA,NA,2010,"NEGRO","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",47,"2012-01-31","2013-01-31",22800000,"No"
NA,NA,NA,2010,"NEGRO","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",39,"2012-06-26","2013-06-26",20900000,"No"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",51,"2012-10-26","2013-10-26",17600000,"No"
NA,NA,NA,2008,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",40,"2012-07-02","2013-07-02",13700000,"No"
NA,NA,NA,2010,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",57,"2011-05-27","2012-05-12",2.3e+07,"No"
NA,NA,NA,2011,"PLATEADO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",40,"2012-04-16","2013-04-16",27800000,"No"
NA,NA,NA,2012,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",44,"2012-10-08","2013-10-08",33590000,"No"
NA,NA,NA,2005,"ROJO","HATCHBACK","HYUNDAI","GETZ [1]","GL","AUTOMOVIL","Livianos","Particular","F",23,"2012-01-31","2013-01-31",14500000,"No"
NA,NA,NA,2011,"AMARILLO","HATCHBACK","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",67,"2011-03-19","2012-03-19",20700000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",1091656,2012,"ROJO","HATCHBACK","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","M",35,"2012-03-07","2013-03-07",39190000,"S�"
NA,NA,NA,2013,"GRIS","HATCHBACK","HYUNDAI","ACCENT i25","1.6L","AUTOMOVIL","Livianos","Particular","M",74,"2012-06-01","2013-06-01",4.4e+07,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",5604734,2011,"NEGRO","HATCHBACK","HYUNDAI","GETZ [1] [FL]","GL/GLS","AUTOMOVIL","Livianos","Particular","M",40,"2011-02-27","2012-02-27",28800000,"S�"
NA,NA,NA,2011,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",57,"2011-03-22","2011-10-01",28300000,"No"
NA,NA,NA,2011,"GRIS","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Oficial",NA,999,"2011-12-09","2012-12-09",61100000,"No"
NA,NA,NA,2011,"NEGRO","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",0,"2011-10-01","2012-10-01",29400000,"No"
"PERDIDA TOTAL POR DA�OS","PTD",0,2007,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico","M",36,"2012-07-21","2013-07-21",9700000,"No"
NA,NA,NA,2011,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",44,"2012-08-12","2013-08-12",29500000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",2624459,2012,"GRIS","HATCHBACK","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",41,"2011-11-24","2012-11-24",33500000,"S�"
NA,NA,NA,2012,"PLATA","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","M",36,"2011-05-24","2012-05-24",29900000,"No"
