"Amparo","Amp","SumaDePagos","Modelo","Color","Carroceria","MARCA","Referencia1","Referencia2","CLASE_FASECOLDA","TIPO_VEHICULO","SERVICIO","Sexo_Aseg","Edad","Desde","Hasta","Vr_Comercial","Pago"
NA,NA,NA,2012,"PLATA","HATCHBACK","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","M",51,"2011-10-14","2012-10-14",23100000,"No"
NA,NA,NA,2011,"AMARILLO","SEDAN","HYUNDAI","ATOS [2]","PRIME","AUTOMOVIL TAXI","Livianos","Publico",NA,999,"2011-10-30","2012-10-30",23700000,"No"
NA,NA,NA,2005,"AZUL","CABINADO","HYUNDAI","TERRACAN","GL 3.5 V6 DOHC","CAMPERO","Livianos","Particular",NA,999,"2011-08-12","2012-08-12",25560000,"No"
NA,NA,NA,2012,"BRONCE","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",0,"2011-03-18","2012-03-18",28700000,"No"
"GASTOS DE TRANSPORTE POR PERDIDA TOTAL","GT",31760300,2013,"PLATA","HATCHBACK","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",21,"2012-04-30","2013-04-30",33690000,"S�"
NA,NA,NA,2013,"PLATA","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",0,"2012-01-05","2013-01-05",33690000,"No"
NA,NA,NA,2010,"GRIS","CABINADO","HYUNDAI","TUCSON IX 35","2.0L","CAMPERO","Livianos","Oficial",NA,999,"2011-02-17","2012-02-17",56800000,"No"
NA,NA,NA,2005,"GRIS","CABINADO","HYUNDAI","TERRACAN","GL 3.5 V6 DOHC","CAMPERO","Livianos","Particular",NA,999,"2011-08-05","2012-08-05",19320000,"No"
"PERDIDA PARCIAL POR DA�OS","PPD",1672151,2005,"GRIS","HATCHBACK","HYUNDAI","ACCENT GYRO","GL","AUTOMOVIL","Livianos","Particular","M",112,"2012-04-26","2013-04-26",14200000,"S�"
NA,NA,NA,2012,"BLANCO","SEDAN","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",53,"2012-05-26","2013-05-26",22990000,"No"
NA,NA,NA,2009,"PLATEADO","HATCHBACK","HYUNDAI","TUCSON","GL CRDI","CAMPERO","Livianos","Particular","M",0,"2011-08-10","2012-08-10",40800000,"No"
"RESPONSABILIDAD CIVIL EXTRACONTRACTUAL","RC",730000,2012,"GRIS","SEDAN","HYUNDAI","ACCENT i25","1.4L","AUTOMOVIL","Livianos","Particular","M",44,"2011-10-25","2012-10-25",33590000,"S�"
NA,NA,NA,2011,"GRIS","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L","CAMIONETA","Livianos","Particular","F",37,"2012-03-20","2013-03-20",63100000,"No"
NA,NA,NA,2008,"ROJO","HATCHBACK","HYUNDAI","TIBURON [3]","FX","AUTOMOVIL","Livianos","Particular","M",51,"2011-09-02","2012-09-02",3.9e+07,"No"
NA,NA,NA,2012,"NEGRO","SEDAN","HYUNDAI","i35 ELANTRA","1.8L","AUTOMOVIL","Livianos","Particular","M",43,"2012-02-20","2013-02-20",0,"No"
NA,NA,NA,2008,"PLATA","SEDAN","HYUNDAI","GETZ [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",0,"2011-11-29","2012-11-29",16500000,"No"
NA,NA,NA,2013,"NEGRO","SEDAN","HYUNDAI","ELANTRA SUPREME","GLS","AUTOMOVIL","Livianos","Particular","F",0,"2012-06-15","2013-06-15",48467680,"No"
NA,NA,NA,2012,"ROJO","HATCHBACK","HYUNDAI","ATOS [1] [FL]","GL","AUTOMOVIL","Livianos","Particular","M",41,"2011-05-31","2012-05-31",19990000,"No"
NA,NA,NA,2009,"PLATA","SEDAN","HYUNDAI","i10","GL","AUTOMOVIL","Livianos","Particular","F",0,"2011-06-24","2012-06-24",16500000,"No"
NA,NA,NA,2011,"GRIS","ST. WAGON","HYUNDAI","TUCSON IX 35","2.0L CRDI","CAMIONETA","Livianos","Oficial",NA,999,"2011-11-25","2012-11-25",60300000,"No"
NA,NA,NA,2008,"GRIS","SEDAN","HYUNDAI","ACCENT VISION","GLS","AUTOMOVIL","Livianos","Particular","F",32,"2012-02-16","2013-02-16",21200000,"No"
